date,text,emotion
02/06/2022,I went for shopping today at the mall and ate lunch with my friend,neutro
02/06/2022,I have been trying to buy a house but I am not able to,neutro
02/06/2022,I did not feel good after going to the party today,preocupacao
02/06/2022,I had a terrible awful day,odio
19/01/2023,i am very sick,preocupacao
19/01/2023,i am very tired,tristeza
22/02/2023,i get up at 09:00 and take a breakfast i am happy,felicidade
Data: 22/03/2023,i am very happy,felicidade
Data: 30/03/2023,very happy,felicidade
Data: 30/03/2023,my day is vey happy,felicidade
Data: 26/04/2023,very nice day,felicidade
Data: 07/06/2023,very nice,felicidade
Data: 15/06/2023,ola,neutro
Data: 20/06/2023,very busy day,preocupacao
Data: 20/06/2023,cool day,felicidade
Data: 13/12/2023,muito bom,felicidade
Data: 07/02/2024,my day is very nice,felicidade
Data: 15/01/2025,very nice,felicidade
Data: 15/01/2025,i am very happy,felicidade
Data: 22/10/2025,very nice,felicidade
